*,Ask,,,,
from_language_id,to_language_id,ask_content,ask_user_id,answer_status,data_status
1,2,Ask content 1,1,0,1
2,2,Ask content 2,1,0,1
3,2,Ask content 3,1,0,1
1,2,Ask content 4,1,0,1
2,2,Ask content 5,1,0,1
3,2,Ask content 6,1,0,1
1,2,Ask content 7,1,0,1
2,2,Ask content 8,1,0,1
3,2,Ask content 9,1,0,1
1,2,Ask content 10,1,0,1
2,2,Ask content 11,1,0,1
3,2,Ask content 12,1,0,1
1,2,Ask content 13,1,0,1
2,2,Ask content 14,1,0,1
3,2,Ask content 15,1,0,1
1,2,Ask content 16,1,0,1
2,2,Ask content 17,1,0,1
3,2,Ask content 18,1,0,1
1,2,Ask content 19,1,0,1
2,2,Ask content 20,1,0,1
3,2,Ask content 21,1,0,1
1,2,Ask content 22,1,0,1
2,2,Ask content 23,1,0,1
3,2,Ask content 24,1,0,1
1,2,Ask content 25,1,0,1
2,2,Ask content 26,1,0,1
3,2,Ask content 27,1,0,1
1,2,Ask content 28,1,0,1
2,2,Ask content 29,1,0,1
3,2,Ask content 30,1,0,1
1,2,Ask content 31,1,0,1
2,2,Ask content 32,1,0,1
*,AppUser,,,,
account,email,role,data_status,,
umbalaconmeogia@gmail.com,umbalaconmeogia@gmail.com,1,1,,
